iter	RMSE
428	0.1284154791
429	0.128341138
430	0.1282639749
431	0.1282526487
432	0.1281357526
433	0.1280684063
434	0.1279904689
435	0.1279158766
436	0.1278518661
437	0.1277866607
438	0.1277328678
439	0.1276828811
440	0.1276182122
441	0.1275306102
442	0.127473337
443	0.1274011384
444	0.1273433248
445	0.1273194823
446	0.1272480901
447	0.1271870376
448	0.1271632433
449	0.1270949903
450	0.1270096135
451	0.1269473729
452	0.1268603358
453	0.1267961816
454	0.1267413108
455	0.1267330407
456	0.1266734447
457	0.1266571063
458	0.1266028
459	0.1265313091
460	0.1264844826
461	0.126383132
462	0.126332044
463	0.1262509268
464	0.1261636247
465	0.1260886828
466	0.1260212461
467	0.125961781
468	0.1259137074
469	0.1258700641
470	0.1257893162
471	0.1257225627
472	0.1256413478
473	0.125583257
474	0.1255417122
475	0.1254990363
476	0.1254465865
477	0.1253682003
478	0.1252973977
479	0.1252466949
480	0.1252043346
481	0.1251906753
482	0.1251329489
483	0.125058961
484	0.1249874101
485	0.1249358462
486	0.1249269609
487	0.1248753703
488	0.1248174162
489	0.1247302596
490	0.124691884
491	0.124629294
492	0.1245987864
493	0.1245580683
494	0.1244822981
495	0.1243955248
496	0.1243413492
497	0.1242949776
498	0.1242259845
499	0.1241489203
500	0.1240787536
501	0.1240584121
502	0.123966463
503	0.1239028021
504	0.1238313397
505	0.1237625865
506	0.1237193325
507	0.123655891
508	0.1236100253
509	0.1235701023
510	0.1234864397
511	0.1234102451
512	0.1233596247
513	0.1232986862
514	0.1232250928
515	0.123206964
516	0.1231502461
517	0.1231242292
518	0.1230656506
519	0.1230123302
520	0.1229506648
521	0.1229034189
522	0.1228543052
523	0.1227984017
524	0.1227509056
525	0.1227337222
526	0.1226820983
527	0.1226345134
528	0.1225782066
529	0.1225375443
530	0.1224999707
531	0.1224590686
532	0.1224077229
533	0.1223354786
534	0.122295952
535	0.122244024
536	0.1222254856
537	0.1221631608
538	0.1220873461
539	0.1220438222
540	0.1220140571
541	0.1219739561
542	0.1219587025
543	0.1219160633
544	0.1219058247
545	0.1218890194
546	0.1218801966
547	0.121833089
548	0.1217466723
549	0.1217122605
550	0.1216895695
551	0.1216539096
552	0.1216166414
553	0.1215542546
554	0.1214818847
555	0.1214756166
556	0.1214431942
557	0.1213850466
558	0.1213174638
559	0.1212975089
560	0.1212632074
561	0.1211991721
562	0.1211468324
563	0.1211348982
564	0.1210838408
565	0.1210683712
566	0.1210290682
567	0.1209609236
568	0.1209511188
569	0.1209273733
570	0.1209202447
571	0.1208582604
572	0.1208035179
573	0.1207874659
574	0.1207669133
575	0.1207238986
576	0.1206704064
577	0.1206158369
578	0.1205666982
579	0.1205128645
580	0.1204484005
581	0.1203984466
582	0.1203431469
583	0.1203160008
584	0.1202998052
585	0.1202488379
586	0.1201974613
587	0.1201533491
588	0.120132705
589	0.1201246933
590	0.1201092371
591	0.1200916365
592	0.1200675658
593	0.1199971008
594	0.1199762392
595	0.1199584222
596	0.1199510284
597	0.1199096402
598	0.1198905302
599	0.1198241533
600	0.1198037964
601	0.1197742998
602	0.1197117196
603	0.1196286779
604	0.1196179767
605	0.1195622218
606	0.1195028956
607	0.1194731495
608	0.1194114633
609	0.1193954285
610	0.1193703716
611	0.1193504644
612	0.1193027016
613	0.1192880677
614	0.1192733961
615	0.1192598514
616	0.1192431883
617	0.119185565
618	0.1191653405
619	0.1191200265
620	0.119088183
621	0.1190586836
622	0.1190097096
623	0.1189695592
624	0.1189550442
625	0.1189373081
626	0.1188829601
627	0.1188560776
628	0.1188457488
629	0.1188323492
630	0.1188204085
631	0.1187410974
632	0.118686594
633	0.1186391388
634	0.1185813896
635	0.1185589784
636	0.1185469725
637	0.1185062335
638	0.1184647227
639	0.1184198316
640	0.1183974511
641	0.1183530403
642	0.1183012325
643	0.1182792076
644	0.1182574427
645	0.1182345847
646	0.118220603
647	0.118191095
648	0.1181695128
649	0.1181046227
650	0.1180948707
651	0.1180485043
652	0.1180306724
653	0.1180209882
654	0.117959979
655	0.1179465036
656	0.1179286643
657	0.1178557172
658	0.1178261783
659	0.1177950563
660	0.1177798187
661	0.1177472743
662	0.1177080736
663	0.1176609706
664	0.1176288011
665	0.1175689971
666	0.1175480046
667	0.1175357201
668	0.1174825871
669	0.1174053131
670	0.1173623287
671	0.1173501682
672	0.1173333951
673	0.1172847339
674	0.117275049
675	0.1172626026
676	0.1172424208
677	0.1172135605
678	0.1171856356
679	0.1171690808
680	0.1171276872
681	0.1170951846
682	0.1170857909
683	0.1170733668
684	0.1170517864
685	0.1170087106
686	0.1170061085
687	0.1169492793
688	0.1169290365
689	0.1169104276
690	0.1169066782
691	0.1169019827
692	0.1168803246
693	0.1168592752
694	0.1168123052
695	0.1168016261
696	0.116734872
697	0.1167332785
698	0.1166983084
699	0.1166834603
700	0.1166670402
701	0.1166542396
702	0.116644435
703	0.1166129264
704	0.1165956684
705	0.1165418106
706	0.1165225705
707	0.1165061681
708	0.1164700238
709	0.1164492194
710	0.1164329243
711	0.1164242418
712	0.1164129824
713	0.1164005327
714	0.1163881535
715	0.1163719009
716	0.1163219239
717	0.1163078406
718	0.1162353869
719	0.1162250631
720	0.1162090958
721	0.1161938239
722	0.116174842
723	0.1161103686
724	0.1160333878
725	0.1160071008
726	0.1159957443
727	0.1159827122
728	0.1159672213
729	0.1159554809
730	0.1159425548
731	0.1159224036
732	0.1158507527
733	0.1158485935
734	0.1158231635
735	0.1158115334
736	0.1157990371
737	0.1157977129
738	0.1157960358
739	0.1157806221
740	0.1157606745
741	0.1157453496
742	0.1157242964
743	0.1156667501
744	0.1155956104
745	0.1155933554
746	0.1155780364
747	0.1155468428
748	0.1155318391
749	0.1155103556
750	0.1154542621
751	0.1154349239
752	0.1154137436
753	0.1154062246
754	0.1153937099
755	0.1153557083
756	0.1152879268
757	0.1152767561
758	0.1152503045
759	0.1152424991
760	0.1152406825
761	0.1152287664
762	0.1152035917
763	0.1151632594
764	0.1150994549
765	0.1150455305
766	0.1150207564
767	0.1149930836
768	0.114982785
769	0.1149399675
770	0.1149137018
771	0.114912101
772	0.114900872
773	0.1148606082
774	0.1148447863
775	0.114813371
776	0.114746482
777	0.114735103
778	0.1147175566
779	0.1146690681
780	0.1146653347
781	0.1146496811
782	0.1146093976
783	0.1145620619
784	0.1145387334
785	0.1144823646
786	0.1144273809
787	0.1144253618
788	0.1144096152
789	0.1143846372
790	0.1143729278
791	0.1143588093
792	0.1143481854
793	0.1143300983
794	0.1142892382
795	0.114275163
796	0.1142374528
797	0.1142362055
798	0.1142119172
799	0.114200866
800	0.1141868841
801	0.114119691
802	0.1140894079
803	0.1140765686
804	0.1140465493
805	0.1140431134
806	0.1140374672
807	0.1139983759
808	0.1139845222
809	0.1139839122
810	0.1139699362
811	0.1139592556
812	0.113955573
813	0.1139521063
814	0.11387664
815	0.1138519218
816	0.1138144217
817	0.1138112907
818	0.113807832
819	0.1137780895
820	0.1137619949
821	0.1137247275
822	0.1136974704
823	0.1136919149
824	0.1136587919
825	0.1136480804
826	0.1135969629
827	0.1135614582
828	0.113540065
829	0.1135329315
830	0.1135317695
831	0.1135306143
832	0.1135098127
833	0.1134668899
834	0.1134326976
835	0.1134183902
836	0.113401408
837	0.1133865498
838	0.1133845059
839	0.1133614281
840	0.1133466301
841	0.113325887
842	0.1133222227
843	0.1133180557
844	0.1133082041
845	0.1132947382
846	0.1132800992
847	0.1132097514
848	0.1131995518
849	0.1131858147
850	0.1131721796
851	0.1131386005
852	0.1131241233
853	0.1131096914
854	0.1131061182
855	0.1131042421
856	0.1130407544
857	0.1130101537
858	0.1130025266
859	0.1129915007
860	0.1129772016
861	0.1129459143
862	0.1129054776
863	0.112904382
864	0.1128757711
865	0.112822691
866	0.1128089901
867	0.112779538
868	0.1127729712
869	0.1127480404
870	0.1127369325
871	0.1127132197
872	0.1127112552
873	0.1126971518
874	0.1126931779
875	0.1126803542
876	0.1126308098
877	0.1125764936
878	0.1125664984
879	0.1125538599
880	0.1125385547
881	0.112523833
882	0.1125207577
883	0.112514021
884	0.1124906248
885	0.1124618871
886	0.1124554676
887	0.1124487318
888	0.1124168542
889	0.1124135981
890	0.1124061774
891	0.1124042633
892	0.112396864
893	0.1123949577
894	0.1123809686
895	0.1123427156
896	0.1123032604
897	0.1123014745
898	0.112300542
899	0.1122975731
900	0.1122922398
901	0.1122859437
902	0.1122723572
903	0.1122262512
904	0.1122211876
905	0.1121881426
906	0.1121654905
907	0.1121564554
908	0.1121465536
909	0.1121428234
910	0.1121262886
911	0.1121184305
912	0.112109856
913	0.1121085363
914	0.1120991381
915	0.1120928139
916	0.1120839996
917	0.1120803287
918	0.1120766716
919	0.1120717542
920	0.1120638756
921	0.1120160942
922	0.1120143834
923	0.1120125676
924	0.1119675701
925	0.111965759
926	0.1119035118
927	0.1118999083
928	0.111889598
929	0.11188475
930	0.1118830733
931	0.1118812884
932	0.1118320646
933	0.111793799
934	0.1117902374
935	0.1117824882
936	0.1117747699
937	0.1117712263
938	0.1117592097
939	0.1117205066
940	0.1117109022
941	0.1116890992
942	0.111677685
943	0.111639271
944	0.1116315938
945	0.1116298259
946	0.1116280636
947	0.1116264185
948	0.1116148689
949	0.1116007318
950	0.1115946205
951	0.1115831142
952	0.1115752769
953	0.1115293519
954	0.111484286
955	0.1114773082
956	0.1114712517
957	0.1114652072
958	0.1114620475
959	0.1114542583
960	0.1114452595
961	0.1114418323
962	0.1113984917
963	0.1113923415
964	0.1113889331
965	0.1113863332
966	0.1113667243
967	0.1113620995
968	0.111330039
969	0.11132668
970	0.1113167609
971	0.1113116007
972	0.1113037615
973	0.1113029453
974	0.1113003977
975	0.1112783065
976	0.1112240225
977	0.1111869543
978	0.1111508577
979	0.1111475284
980	0.1111442113
981	0.1111167138
982	0.1111134079
983	0.111110114
984	0.1111055951
985	0.1110968058
986	0.1110857849
987	0.1110770478
988	0.1110413625
989	0.1110381237
990	0.1110269737
991	0.1110218761
992	0.1110202123
993	0.1110173887
994	0.1110115895
995	0.1109922165
996	0.1109890094
997	0.1109693793
998	0.1109605873
999	0.1109495375
